#n_gente  p_exito
0.0000 0.0000
1.0000 0.0000
2.0000 0.0020
3.0000 0.0060
4.0000 0.0160
5.0000 0.0210
6.0000 0.0500
7.0000 0.0570
8.0000 0.0730
9.0000 0.0860
10.0000 0.1250
11.0000 0.1530
12.0000 0.1610
13.0000 0.1870
14.0000 0.2240
15.0000 0.2690
16.0000 0.2870
17.0000 0.3300
18.0000 0.3560
19.0000 0.3920
20.0000 0.4090
21.0000 0.4590
22.0000 0.4830
23.0000 0.5370
24.0000 0.5380
25.0000 0.5550
26.0000 0.5960
27.0000 0.6570
28.0000 0.6600
29.0000 0.6650
30.0000 0.7130
31.0000 0.7060
32.0000 0.7240
33.0000 0.7760
34.0000 0.8110
35.0000 0.8200
36.0000 0.8330
37.0000 0.8400
38.0000 0.8640
39.0000 0.8790
40.0000 0.8730
41.0000 0.8930
42.0000 0.9200
43.0000 0.9300
44.0000 0.9320
45.0000 0.9460
46.0000 0.9510
47.0000 0.9550
48.0000 0.9590
49.0000 0.9670
50.0000 0.9700
51.0000 0.9780
52.0000 0.9760
53.0000 0.9800
54.0000 0.9910
55.0000 0.9860
56.0000 0.9840
57.0000 0.9900
58.0000 0.9900
59.0000 0.9900
60.0000 0.9940
61.0000 0.9930
62.0000 0.9970
63.0000 0.9950
64.0000 0.9990
65.0000 0.9990
66.0000 0.9980
67.0000 0.9990
68.0000 0.9980
69.0000 0.9990
70.0000 0.9980
71.0000 0.9990
72.0000 1.0000
73.0000 1.0000
74.0000 1.0000
75.0000 0.9990
76.0000 1.0000
77.0000 1.0000
78.0000 1.0000
79.0000 1.0000
