#n_gente  p_exito
0.0000 0.0000
1.0000 0.0000
2.0000 0.0000
3.0000 0.0000
4.0000 0.0000
5.0000 0.0001
6.0000 0.0002
7.0000 0.0002
8.0000 0.0004
9.0000 0.0006
10.0000 0.0009
11.0000 0.0013
12.0000 0.0015
13.0000 0.0024
14.0000 0.0025
15.0000 0.0034
16.0000 0.0045
17.0000 0.0052
18.0000 0.0059
19.0000 0.0069
20.0000 0.0086
21.0000 0.0098
22.0000 0.0109
23.0000 0.0126
24.0000 0.0149
25.0000 0.0163
26.0000 0.0193
27.0000 0.0203
28.0000 0.0240
29.0000 0.0252
30.0000 0.0284
31.0000 0.0317
32.0000 0.0350
33.0000 0.0377
34.0000 0.0413
35.0000 0.0448
36.0000 0.0483
37.0000 0.0543
38.0000 0.0570
39.0000 0.0629
40.0000 0.0665
41.0000 0.0693
42.0000 0.0770
43.0000 0.0826
44.0000 0.0891
45.0000 0.0944
46.0000 0.0998
47.0000 0.1079
48.0000 0.1124
49.0000 0.1188
50.0000 0.1271
51.0000 0.1323
52.0000 0.1413
53.0000 0.1497
54.0000 0.1569
55.0000 0.1629
56.0000 0.1720
57.0000 0.1814
58.0000 0.1913
59.0000 0.1958
60.0000 0.2071
61.0000 0.2163
62.0000 0.2258
63.0000 0.2348
64.0000 0.2482
65.0000 0.2558
66.0000 0.2636
67.0000 0.2746
68.0000 0.2839
69.0000 0.2970
70.0000 0.3064
71.0000 0.3149
72.0000 0.3263
73.0000 0.3371
74.0000 0.3496
75.0000 0.3633
76.0000 0.3703
77.0000 0.3851
78.0000 0.3969
79.0000 0.4060
